                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.59304,                0.40685,                0.97846,                0.90559,                0.52785,                0.61173,                0.46889,                 1.6508,                 1.1993,                 0.9052,               0.000317,               0.000317,               0.000317
                     88,                0.59688,                 0.4157,                0.96673,                0.86031,                0.54479,                0.59822,                0.46214,                 1.7188,                  1.195,                0.91246,              0.0002972,              0.0002972,              0.0002972
                     89,                0.59605,                0.40791,                 0.9672,                0.90596,                0.53027,                0.60335,                0.46426,                 1.7031,                 1.1842,                 0.9069,              0.0002774,              0.0002774,              0.0002774
                     90,                0.58249,                0.41203,                0.96956,                0.90568,                0.52542,                0.59855,                0.45848,                  1.695,                 1.1449,                0.90421,              0.0002576,              0.0002576,              0.0002576
                     91,                0.60187,                 0.3861,                0.92726,                0.87667,                0.54237,                0.60903,                 0.4655,                 1.6767,                 1.1874,                0.91181,              0.0002378,              0.0002378,              0.0002378
                     92,                 0.5932,                0.36519,                0.91957,                 0.8873,                0.53753,                 0.6057,                0.46654,                 1.6868,                 1.3118,                0.91295,               0.000218,               0.000218,               0.000218
                     93,                0.59253,                0.36959,                0.92367,                0.85276,                0.54692,                0.59313,                0.46056,                 1.7286,                 1.1706,                0.90979,              0.0001982,              0.0001982,              0.0001982
                     94,                0.58939,                0.36664,                0.93329,                0.87196,                0.54479,                0.61498,                0.47229,                 1.6645,                 1.1463,                0.90996,              0.0001784,              0.0001784,              0.0001784
                     95,                0.58142,                0.35395,                0.91907,                0.86912,                0.53511,                0.59807,                0.46476,                 1.6723,                 1.1856,                0.91142,              0.0001586,              0.0001586,              0.0001586
                     96,                0.58108,                0.35621,                0.91663,                0.87332,                0.54722,                 0.6088,                 0.4682,                  1.676,                 1.1355,                0.90507,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.5666,                0.34874,                0.91427,                0.90602,                0.53691,                 0.6096,                0.47018,                 1.6729,                 1.1142,                 0.9032,               0.000119,               0.000119,               0.000119
                     98,                0.56487,                0.33765,                0.90643,                0.86987,                0.54964,                0.60908,                 0.4698,                 1.6844,                 1.0968,                0.90178,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.57061,                0.34421,                0.90969,                0.87336,                0.55105,                 0.6124,                0.46808,                  1.673,                 1.1017,                0.90649,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.57433,                 0.3408,                0.91086,                0.87377,                0.55311,                0.60977,                0.46968,                 1.6796,                 1.1427,                0.91296,               5.96e-05,               5.96e-05,               5.96e-05
